Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Малярные инструменты,"Валик, 18 см., ядро 48 мм., полиакрил, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 25 шт,1 740 KZT,30-0796,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 50 мм, толщ. 12 мм, 70% ПЭT/30% натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 25 шт,980 KZT,30-0233,Master color,Россия,Не указан
Малярные инструменты,Кисть PLATINUM  плоская 35 мм.,Остаток Алматы: 36 шт,7 540 KZT,149535,ANZA,Швеция,Не указан
Малярные инструменты,KELLY-MOORE 1-1-2 100% SOLID TAPERED POLYESTER ANGULAR SASH- Кисть полиэстер смесь круглых нитей сре,Остаток Алматы: 36 шт,8 650 KZT,0037-157,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Валик, ядро 41 мм, полиамид нейлон, ворс 12 мм, под 8 мм ручку, 350 мм",Остаток Алматы: 35 шт,4 160 KZT,30-0738,Master color,Россия,Не указан
Малярные инструменты,"Телескопический удлинитель 1,2-2 м, алюминий, 2-х секционный, с винтовым адаптером",Остаток Алматы: 28 шт,10 400 KZT,30-1509,Master color,Россия,Не указан
Малярные инструменты,Кисть PLATINUM  плоская 25 мм.,Остаток Алматы: 35 шт,6 340 KZT,149525,ANZA,Швеция,Не указан
Малярные инструменты,"Кисть флейц., ширина 70 мм,  толщ. 16 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, ручка тверд.д",Остаток Алматы: 25 шт,4 160 KZT,30-0055,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 60 мм, натур. щетина, 55% топс, лакиров.ручка",Остаток Алматы: 17 шт,630 KZT,30-0014,Master color,Россия,Не указан
Малярные инструменты,"Валик, 25 см., ядро 80 мм, структурный поролон грубый, крупнопористый, под 8 мм ручку.",Остаток Алматы: 28 шт,5 200 KZT,30-1284,Master color,Россия,Не указан
Малярные инструменты,"Валик, 10 см, ядро 15 мм., микрофибра, ворс 9 мм, под 6 мм ручку",Остаток Алматы: 3 шт,350 KZT,30-1092,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 70 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, ручка тверд.дерева",Остаток Алматы: 31 шт,4 160 KZT,30-0025,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейцевая, ХАЛЯЛЬ, ширина 70 мм,  толщ. 16 мм, 30% черный конский волос+ 70% ПБТ",Остаток Алматы: 32 шт,950 KZT,30-0144,Master color,Россия,Не указан
Малярные инструменты,KELLY-MOORE 1-1-2 100% SOLID TAPERED POLYESTER FLAT SASH- Кисть полиэстер смесь круглых нитей средне,Остаток Алматы: 31 шт,8 150 KZT,0037-160,KELLY-MOORE,Америка,Не указан
Малярные инструменты,Валик Антекс микрофибра 25/38мм,Остаток Алматы: 30 шт,6 950 KZT,580025,ANZA,Швеция,Не указан
Малярные инструменты,"Удлинитель, сталь лакированная, Ø 25 мм., 120  см.",Остаток Алматы: 30 шт,2 310 KZT,30-1408,Master color,Россия,Не указан
Малярные инструменты,"Валик, 25 см, ядро 47, полиамид, ворс 20 мм, под 8 мм  ручку",Остаток Алматы: 19 шт,3 820 KZT,30-0757,Master color,Россия,Не указан
Малярные инструменты,"Валик, 18 см, ядро 47, спец. полиэстр, ворс 13 мм, под 8 мм ручку",Остаток Алматы: 17 шт,1 740 KZT,30-0716,Master color,Россия,Не указан
Малярные инструменты,Поддон для краски 25 см,Остаток Алматы: 28 шт,5 110 KZT,621025,ANZA,Швеция,Не указан
Малярные инструменты,"Валик MAKO сменный, тканный полиэстер, особо короткий ворс 10мм, плотность 780г 706618/706619",Остаток Алматы: 16 шт,4 310 KZT,706618/706619,MAKO,Германия,Не указан
Малярные инструменты,Кисть MAKO плоская 70мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352470,Остаток Алматы: 21 шт,1 370 KZT,352470,MAKO,Германия,Не указан
Малярные инструменты,"Валик, 18 см, ядро 47, микрофибра, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 14 шт,1 740 KZT,30-0836,Master color,Россия,Не указан
Малярные инструменты,"Удлинитель, сталь лакированная, Ø 25 мм., 200 см.",Остаток Алматы: 24 шт,3 470 KZT,30-1409,Master color,Россия,Не указан
Малярные инструменты,Ванночка MAKO для краски super GRIP 25*32 761831/761832,Остаток Алматы: 27 шт,1 620 KZT,761831/761832,MAKO,Германия,Не указан
Малярные инструменты,"Валик, 25 см, ядро 41 мм., полиамид, ворс 12мм, под 8 мм ручку",Остаток Алматы: 27 шт,3 120 KZT,30-0737,Master color,Россия,Не указан
Малярные инструменты,"Валик, 25 см.,ядро 40 мм., 100% велюр, ворс 5 мм",Остаток Алматы: 17 шт,2 780 KZT,30-0847,Master color,Россия,Не указан
Малярные инструменты,"Лента малярная золотистая, рисовая бумага, 36 мм x 25 м, термостойкость до 100°C, УФ-стойкость до 30",Остаток Алматы: 25 шт,2 080 KZT,30-6123,Master color,Россия,Не указан
Малярные инструменты,Кисть ELITE плоская 70мм,Остаток Алматы: 24 шт,10 240 KZT,150470,ANZA,Швеция,Не указан
Малярные инструменты,"Кисть флейц., ширина 50 мм,  толщ. 15 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, ручка тверд.д",Остаток Алматы: 14 шт,2 430 KZT,30-0053,Master color,Россия,Не указан
Малярные инструменты,Кисть PLATINUM со скошенной щетиной 35 мм.,Остаток Алматы: 22 шт,10 620 KZT,149635,ANZA,Швеция,Не указан
Малярные инструменты,Валик ELITE Филт войлочный 10 см/15 мм,Остаток Алматы: 22 шт,2 810 KZT,454510,ANZA,Швеция,Не указан
